GT_Folder,Actual_GT_MM,Index,Camera,Gap_Pixel_H,AI_Raw_MM
GT_2.5mm,2.25,000,cam1,14.09,2.06
GT_2.5mm,2.5,000,cam3,12.09,1.38
GT_2.5mm,2.25,001,cam1,14.25,2.08
GT_2.5mm,2.5,001,cam3,12.40,1.41
GT_2.5mm,2.25,002,cam1,14.03,2.05
GT_2.5mm,2.5,002,cam3,13.10,1.49
GT_2.5mm,2.25,003,cam1,13.60,1.99
GT_2.5mm,2.5,003,cam3,12.17,1.39
GT_2.5mm,2.25,004,cam1,12.99,1.90
GT_2.5mm,2.5,004,cam3,13.00,1.48
GT_2.5mm,2.25,005,cam1,13.82,2.02
GT_2.5mm,2.5,005,cam3,12.38,1.41
GT_2.5mm,2.25,006,cam1,13.69,2.00
GT_2.5mm,2.5,006,cam3,12.43,1.42
GT_2.5mm,2.25,007,cam1,13.26,1.94
GT_2.5mm,2.5,007,cam3,13.12,1.49
GT_2.5mm,2.25,008,cam1,13.83,2.02
GT_2.5mm,2.5,008,cam3,12.87,1.47
GT_2.5mm,2.25,009,cam1,13.29,1.94
GT_2.5mm,2.5,009,cam3,12.55,1.43
